url,comment_text
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Vé số đang ế
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Dạ cho xin cái vía nhẹ nhẹ 1to dac biệt ạ
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía may mắn
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía ạ
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Em xin vía ạ.
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin lộc 1 tờ an ủi cũng ạ
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía trúng độc đắc
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía trúng giải đặc biệt
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía trúng đặc biệt a di đà phật
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin via may mắn anh oi
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía xin vía xin vía ą
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Nhìn quen ghê hơm
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Cầu sin vía
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía may mắn tài lộc
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía 😍 😍
